fips,name,state,zhvi
26045,Eaton County,MI,264236
36089,Saint Lawrence County,NY,150602
46103,Pennington County,SD,369326
28089,Madison County,MS,335831
17091,Kankakee County,IL,228870
13015,Bartow County,GA,328993
39109,Miami County,OH,273072
47011,Bradley County,TN,321012
41071,Yamhill County,OR,509950
29037,Cass County,MO,344687
02170,Matanuska Susitna Borough,AK,413373
04017,Navajo County,AZ,398903
18167,Vigo County,IN,164059
01069,Houston County,AL,204428
55127,Walworth County,WI,414400
27019,Carver County,MN,496643
54061,Monongalia County,WV,268559
36109,Tompkins County,NY,359644
45085,Sumter County,SC,204805
48397,Rockwall County,TX,415992
55035,Eau Claire County,WI,327399
29165,Platte County,MO,395149
19193,Woodbury County,IA,211463
29071,Franklin County,MO,267765
17115,Macon County,IL,127195
26017,Bay County,MI,188669
55039,Fond du Lac County,WI,296758
42001,Adams County,PA,338846
01055,Etowah County,AL,186661
30029,Flathead County,MT,652673
24015,Cecil County,MD,387213
24045,Wicomico County,MD,276091
13313,Whitfield County,GA,249266
21059,Daviess County,KY,220446
39003,Allen County,OH,194196
39029,Columbiana County,OH,164310
06057,Nevada County,CA,622930
01083,Limestone County,AL,322656
37049,Craven County,NC,278188
12055,Highlands County,FL,233871
17037,DeKalb County,IL,303352
56021,Laramie County,WY,394023
05051,Garland County,AR,246752
51770,Roanoke City,VA,225072
26091,Lenawee County,MI,247943
51121,Montgomery County,VA,346984
06101,Sutter County,CA,441035
47119,Maury County,TN,406435
37045,Cleveland County,NC,214273
48231,Hunt County,TX,275809
19061,Dubuque County,IA,281609
37125,Moore County,NC,416447
47113,Madison County,TN,230042
13115,Floyd County,GA,235850
19169,Story County,IA,296730
47155,Sevier County,TN,408301
36079,Putnam County,NY,580602
38015,Burleigh County,ND,375562
53025,Grant County,WA,363094
39007,Ashtabula County,OH,184924
22057,Lafourche Parish,LA,189160
51740,Portsmouth City,VA,269515
01095,Marshall County,AL,244549
02090,Fairbanks North Star Borough,AK,317106
19049,Dallas County,IA,355844
