fips,name,income
13067,"Cobb County, Georgia",102738
13069,"Coffee County, Georgia",50683
13071,"Colquitt County, Georgia",49341
13073,"Columbia County, Georgia",95592
13075,"Cook County, Georgia",53651
13077,"Coweta County, Georgia",95548
13079,"Crawford County, Georgia",67116
13081,"Crisp County, Georgia",45105
13083,"Dade County, Georgia",64568
13085,"Dawson County, Georgia",92991
13087,"Decatur County, Georgia",53317
13089,"DeKalb County, Georgia",80644
13091,"Dodge County, Georgia",51587
13093,"Dooly County, Georgia",60987
13095,"Dougherty County, Georgia",49044
13097,"Douglas County, Georgia",82984
13099,"Early County, Georgia",54083
13101,"Echols County, Georgia",59489
13103,"Effingham County, Georgia",88438
13105,"Elbert County, Georgia",58450
13107,"Emanuel County, Georgia",52772
13109,"Evans County, Georgia",53259
13111,"Fannin County, Georgia",57073
13113,"Fayette County, Georgia",111978
13115,"Floyd County, Georgia",65565
13117,"Forsyth County, Georgia",143784
13119,"Franklin County, Georgia",53046
13121,"Fulton County, Georgia",95292
13123,"Gilmer County, Georgia",74499
13125,"Glascock County, Georgia",54934
13127,"Glynn County, Georgia",69799
13129,"Gordon County, Georgia",63650
13131,"Grady County, Georgia",58980
13133,"Greene County, Georgia",86272
13135,"Gwinnett County, Georgia",87890
13137,"Habersham County, Georgia",67309
13139,"Hall County, Georgia",80901
13141,"Hancock County, Georgia",40082
13143,"Haralson County, Georgia",72127
13145,"Harris County, Georgia",97302
13147,"Hart County, Georgia",59385
13149,"Heard County, Georgia",65868
13151,"Henry County, Georgia",83146
13153,"Houston County, Georgia",80698
13155,"Irwin County, Georgia",51384
13157,"Jackson County, Georgia",89544
13159,"Jasper County, Georgia",60134
13161,"Jeff Davis County, Georgia",40283
13163,"Jefferson County, Georgia",53014
13165,"Jenkins County, Georgia",44389
13167,"Johnson County, Georgia",51028
13169,"Jones County, Georgia",75500
13171,"Lamar County, Georgia",67062
13173,"Lanier County, Georgia",47186
13175,"Laurens County, Georgia",55010
13177,"Lee County, Georgia",89168
13179,"Liberty County, Georgia",60456
13181,"Lincoln County, Georgia",56907
13183,"Long County, Georgia",68808
13185,"Lowndes County, Georgia",58541
13187,"Lumpkin County, Georgia",77448
13189,"McDuffie County, Georgia",56733
13191,"McIntosh County, Georgia",50273
13193,"Macon County, Georgia",41031
13195,"Madison County, Georgia",61963
13197,"Marion County, Georgia",51667
13199,"Meriwether County, Georgia",57340
13201,"Miller County, Georgia",51425
13205,"Mitchell County, Georgia",57613
13207,"Monroe County, Georgia",83183
13209,"Montgomery County, Georgia",51941
13211,"Morgan County, Georgia",78111
13213,"Murray County, Georgia",69253
13215,"Muscogee County, Georgia",58073
13217,"Newton County, Georgia",77179
13219,"Oconee County, Georgia",121217
13221,"Oglethorpe County, Georgia",75034
13223,"Paulding County, Georgia",98031
13225,"Peach County, Georgia",71293
13227,"Pickens County, Georgia",78930
13229,"Pierce County, Georgia",60517
13231,"Pike County, Georgia",86719
13233,"Polk County, Georgia",58515
13235,"Pulaski County, Georgia",50406
13237,"Putnam County, Georgia",72096
13239,"Quitman County, Georgia",40179
