County,ST,State,GOP Share,Total Votes,Bachelor's+,Z-Score Index,Z Rank,Percentile Index,P Rank,RESI,RESI Rank,GOP Pctile,Vote Pctile,Edu Pctile,GOP z,Vote z,Edu z
District 21,AK,Alaska,44.06,9043,37.01,0.000000,102,0.042420,2729,-336.4,2758,0.105,0.404,0.877,-1.4262,-0.2879,1.1832
District 22,AK,Alaska,47.48,5463,24.09,0.000000,103,0.034056,2806,-75.8,2690,0.132,0.258,0.577,-1.2099,-0.3136,-0.0668
District 23,AK,Alaska,57.10,10685,50.41,0.000000,104,0.111342,2112,494.6,2355,0.241,0.462,0.969,-0.6033,-0.2761,2.4801
District 24,AK,Alaska,64.06,10118,44.49,0.000000,105,0.162790,1683,1168.1,1858,0.365,0.446,0.943,-0.1638,-0.2802,1.9080
District 25,AK,Alaska,65.88,10460,32.62,0.000000,106,0.185185,1510,1441.8,1694,0.407,0.455,0.811,-0.0492,-0.2778,0.7590
District 3,AK,Alaska,40.48,11107,37.41,0.000000,107,0.036972,2775,-749.3,2813,0.078,0.474,0.881,-1.6519,-0.2731,1.2219
District 31,AK,Alaska,49.62,7003,25.00,0.000000,108,0.050220,2656,-13.5,2659,0.155,0.324,0.616,-1.0750,-0.3025,0.0209
District 32,AK,Alaska,63.81,5864,26.84,0.000000,109,0.099550,2223,659.7,2212,0.362,0.275,0.678,-0.1796,-0.3107,0.1991
District 34,AK,Alaska,58.29,10012,38.31,0.000000,110,0.114920,2083,564.0,2289,0.260,0.442,0.892,-0.5281,-0.2810,1.3096
District 35,AK,Alaska,45.16,9732,41.70,0.000000,111,0.049565,2666,-283.3,2746,0.115,0.431,0.925,-1.3565,-0.2830,1.6376
District 36,AK,Alaska,58.69,9598,29.64,0.000000,112,0.112890,2098,574.5,2281,0.265,0.426,0.748,-0.5029,-0.2839,0.4698
District 37,AK,Alaska,50.76,4350,17.41,0.000000,113,0.033901,2808,17.0,2645,0.167,0.203,0.244,-1.0033,-0.3216,-0.7137
District 38,AK,Alaska,39.01,3994,12.87,0.000000,114,0.012308,3009,-326.6,2756,0.068,0.181,0.057,-1.7446,-0.3241,-1.1536
District 39,AK,Alaska,40.18,4206,10.74,0.000000,115,0.014625,2994,-295.6,2749,0.075,0.195,0.019,-1.6707,-0.3226,-1.3594
District 4,AK,Alaska,29.03,9270,42.71,0.000000,116,0.009499,3041,-1958.3,2884,0.023,0.413,0.932,-2.3743,-0.2863,1.7349
District 40,AK,Alaska,51.26,3293,13.84,0.000000,117,0.025056,2882,21.8,2641,0.174,0.144,0.084,-0.9716,-0.3291,-1.0594
District 5,AK,Alaska,54.25,8020,31.43,0.000000,118,0.074572,2436,200.7,2561,0.206,0.362,0.789,-0.7829,-0.2952,0.6430
District 6,AK,Alaska,55.88,12000,33.38,0.000000,119,0.109939,2124,440.2,2405,0.223,0.493,0.824,-0.6805,-0.2667,0.8325
District 9,AK,Alaska,47.15,11836,60.77,0.000000,120,0.063700,2534,-188.2,2730,0.130,0.490,0.993,-1.2308,-0.2679,3.4835
District 99,AK,Alaska,12.72,401,,0.000000,121,0.000000,3147,-227.8,2737,0.000,0.004,,-3.4034,-0.3499,
Barbour,AL,Alabama,56.88,9855,10.63,0.000000,122,0.104006,2178,439.1,2409,0.238,0.437,0.017,-0.6167,-0.2821,-1.3703
Bullock,AL,Alabama,26.78,4111,8.12,0.000000,123,0.003213,3107,-1023.4,2834,0.017,0.189,0.002,-2.5161,-0.3233,-1.6134
Butler,AL,Alabama,60.99,8480,13.54,0.000000,124,0.119040,2046,693.4,2183,0.310,0.384,0.075,-0.3577,-0.2919,-1.0885
Chambers,AL,Alabama,61.15,14245,14.91,0.000000,125,0.168168,1637,1188.0,1843,0.312,0.539,0.122,-0.3476,-0.2506,-0.9560
Choctaw,AL,Alabama,61.64,6656,15.76,0.000000,126,0.100142,2216,589.0,2264,0.322,0.311,0.161,-0.3165,-0.3050,-0.8734
Clarke,AL,Alabama,58.25,11958,14.97,0.000000,127,0.127428,1976,669.0,2201,0.259,0.492,0.125,-0.5309,-0.2670,-0.9496
Conecuh,AL,Alabama,56.57,6051,13.42,0.000000,128,0.066352,2506,254.4,2528,0.232,0.286,0.071,-0.6367,-0.3094,-1.1002
Dallas,AL,Alabama,33.38,15547,17.48,0.000000,129,0.021957,2909,-2293.0,2894,0.039,0.563,0.245,-2.0996,-0.2413,-0.7065
Greene,AL,Alabama,21.91,4039,15.13,0.000000,130,0.001830,3129,-1383.6,2853,0.010,0.183,0.131,-2.8234,-0.3238,-0.9347
Hale,AL,Alabama,46.12,7305,17.59,0.000000,131,0.040103,2749,-164.6,2725,0.119,0.337,0.251,-1.2960,-0.3004,-0.6967
Jefferson,AL,Alabama,43.90,298704,36.22,0.000000,132,0.100360,2212,-11475.2,3010,0.104,0.965,0.865,-1.4362,1.7888,1.1073
Lee,AL,Alabama,62.93,73127,42.38,0.000000,133,0.299600,812,7490.3,357,0.350,0.856,0.929,-0.2352,0.1715,1.7028
Lowndes,AL,Alabama,31.09,5655,14.37,0.000000,134,0.008215,3053,-1015.8,2832,0.031,0.265,0.101,-2.2444,-0.3122,-1.0082
Macon,AL,Alabama,21.47,7834,21.12,0.000000,135,0.003186,3108,-2756.6,2914,0.009,0.354,0.443,-2.8512,-0.2966,-0.3542
Madison,AL,Alabama,53.35,197617,46.42,0.000000,136,0.185574,1506,3769.3,872,0.197,0.942,0.953,-0.8397,1.0640,2.0947
Marengo,AL,Alabama,51.59,9682,19.45,0.000000,137,0.077400,2415,82.0,2614,0.180,0.430,0.351,-0.9508,-0.2833,-0.5160
Mobile,AL,Alabama,57.52,175164,25.97,0.000000,138,0.230698,1205,8720.2,275,0.247,0.934,0.651,-0.5765,0.9031,0.1149
Monroe,AL,Alabama,61.20,9815,11.67,0.000000,139,0.136155,1888,823.7,2086,0.313,0.435,0.030,-0.3443,-0.2824,-1.2693
Montgomery,AL,Alabama,33.94,89798,34.46,0.000000,140,0.036080,2784,-12587.5,3017,0.041,0.880,0.843,-2.0645,0.2910,0.9369
Perry,AL,Alabama,28.42,4465,15.77,0.000000,141,0.004598,3095,-987.3,2831,0.022,0.209,0.161,-2.4126,-0.3207,-0.8730
Pickens,AL,Alabama,61.32,8912,13.08,0.000000,142,0.126166,1990,758.8,2142,0.317,0.398,0.065,-0.3368,-0.2889,-1.1328
Pike,AL,Alabama,62.14,13234,28.02,0.000000,143,0.173865,1589,1241.2,1815,0.335,0.519,0.711,-0.2850,-0.2579,0.3131
Russell,AL,Alabama,48.64,20718,18.20,0.000000,144,0.092378,2288,-148.2,2719,0.143,0.646,0.280,-1.1367,-0.2042,-0.6375
Sumter,AL,Alabama,29.06,5307,19.01,0.000000,145,0.006024,3082,-1118.8,2839,0.024,0.251,0.326,-2.3726,-0.3147,-0.5589
Talladega,AL,Alabama,66.47,33250,16.53,0.000000,146,0.315656,723,4837.4,655,0.422,0.748,0.198,-0.0122,-0.1144,-0.7989
Tuscaloosa,AL,Alabama,59.50,85256,32.10,0.000000,147,0.245313,1121,5731.6,530,0.281,0.873,0.801,-0.4520,0.2585,0.7079
Wilcox,AL,Alabama,34.07,5263,12.95,0.000000,148,0.010168,3034,-729.0,2806,0.041,0.248,0.059,-2.0564,-0.3150,-1.1457
Benton,AR,Arkansas,62.14,128595,37.75,0.000000,149,0.305855,780,12054.3,143,0.335,0.913,0.885,-0.2853,0.5692,1.2553
Carroll,AR,Arkansas,64.74,11538,19.98,0.000000,150,0.184888,1516,1426.0,1702,0.382,0.484,0.380,-0.1210,-0.2700,-0.4649
Chicot,AR,Arkansas,47.51,3490,17.99,0.000000,151,0.020615,2922,-47.9,2677,0.133,0.155,0.270,-1.2084,-0.3277,-0.6573
Clark,AR,Arkansas,59.11,7657,26.19,0.000000,152,0.095352,2262,487.4,2359,0.274,0.348,0.658,-0.4764,-0.2978,0.1359
Crittenden,AR,Arkansas,47.87,14681,16.99,0.000000,153,0.074664,2432,-169.8,2726,0.136,0.549,0.227,-1.1854,-0.2475,-0.7547
Dallas,AR,Arkansas,63.77,2324,11.35,0.000000,154,0.035280,2795,260.3,2518,0.360,0.098,0.024,-0.1824,-0.3361,-1.3004
Desha,AR,Arkansas,51.50,3505,12.63,0.000000,155,0.027924,2857,27.8,2639,0.179,0.156,0.051,-0.9566,-0.3276,-1.1767
Drew,AR,Arkansas,66.03,6365,25.61,0.000000,156,0.122889,2011,889.9,2047,0.411,0.299,0.638,-0.0396,-0.3071,0.0798
Faulkner,AR,Arkansas,64.92,54465,34.96,0.000000,157,0.318548,715,6847.7,410,0.388,0.821,0.851,-0.1100,0.0377,0.9848
Jefferson,AR,Arkansas,39.19,21608,20.05,0.000000,158,0.045920,2699,-1727.7,2873,0.070,0.656,0.383,-1.7332,-0.1978,-0.4579
Lee,AR,Arkansas,46.87,2520,7.24,0.000000,159,0.013843,2998,-44.6,2676,0.127,0.109,0.001,-1.2489,-0.3347,-1.6984
Mississippi,AR,Arkansas,64.97,10717,13.70,0.000000,160,0.179644,1544,1354.6,1742,0.388,0.463,0.080,-0.1065,-0.2759,-1.0730
Monroe,AR,Arkansas,56.93,2433,12.71,0.000000,161,0.024856,2883,109.2,2599,0.239,0.104,0.052,-0.6142,-0.3353,-1.1684
Ouachita,AR,Arkansas,58.61,8626,16.29,0.000000,162,0.102696,2189,510.5,2338,0.264,0.389,0.188,-0.5077,-0.2909,-0.8225
Phillips,AR,Arkansas,42.49,4938,15.00,0.000000,163,0.021344,2915,-245.4,2742,0.092,0.232,0.126,-1.5252,-0.3173,-0.9473
Pulaski,AR,Arkansas,37.67,153924,37.93,0.000000,164,0.053766,2624,-14753.4,3029,0.058,0.927,0.887,-1.8293,0.7508,1.2727
St. Francis,AR,Arkansas,48.65,5979,14.25,0.000000,165,0.040326,2747,-42.4,2672,0.143,0.282,0.097,-1.1361,-0.3099,-1.0199
Union,AR,Arkansas,66.00,15448,19.08,0.000000,166,0.230010,1209,2153.7,1362,0.410,0.561,0.329,-0.0415,-0.2420,-0.5521
Washington,AR,Arkansas,51.71,97158,35.25,0.000000,167,0.161090,1704,890.0,2046,0.181,0.890,0.854,-0.9431,0.3438,1.0131
Woodruff,AR,Arkansas,65.27,2318,16.16,0.000000,168,0.038612,2763,301.6,2497,0.394,0.098,0.182,-0.0876,-0.3361,-0.8346
Apache,AZ,Arizona,39.86,32101,16.56,0.000000,169,0.054908,2615,-2355.0,2896,0.074,0.742,0.202,-1.6910,-0.1226,-0.7956
Cochise,AZ,Arizona,60.77,59135,28.09,0.000000,170,0.254065,1065,4703.7,686,0.305,0.833,0.712,-0.3717,0.0712,0.3205
Coconino,AZ,Arizona,39.18,70374,40.34,0.000000,171,0.058857,2583,-5629.8,2958,0.069,0.853,0.914,-1.7335,0.1518,1.5059
Maricopa,AZ,Arizona,51.01,2061574,36.68,0.000000,172,0.171828,1604,10793.7,188,0.172,0.999,0.873,-0.9877,14.4274,1.1516
Navajo,AZ,Arizona,57.98,50847,19.10,0.000000,173,0.206248,1363,2727.1,1144,0.254,0.812,0.330,-0.5478,0.0118,-0.5497
Pima,AZ,Arizona,41.66,515287,36.79,0.000000,174,0.082824,2370,-29253.1,3075,0.084,0.986,0.874,-1.5773,3.3415,1.1626
Pinal,AZ,Arizona,60.39,210173,22.47,0.000000,175,0.281908,903,15930.2,88,0.298,0.946,0.508,-0.3955,1.1541,-0.2242
Santa Cruz,AZ,Arizona,40.17,19167,23.14,0.000000,176,0.046875,2687,-1349.3,2850,0.075,0.625,0.539,-1.6715,-0.2153,-0.1589
Yavapai,AZ,Arizona,66.48,149428,30.25,0.000000,177,0.391275,425,21775.4,44,0.423,0.925,0.762,-0.0111,0.7186,0.5295
Yuma,AZ,Arizona,59.63,68335,16.78,0.000000,178,0.240267,1142,4676.8,689,0.283,0.849,0.214,-0.4438,0.1372,-0.7749
Alameda,CA,California,21.02,669907,52.25,0.000000,179,0.007928,3060,-242256.7,3147,0.008,0.991,0.977,-2.8798,4.4500,2.6583
Alpine,CA,California,32.93,738,41.10,0.000000,180,0.000555,3139,-113.4,2709,0.037,0.015,0.920,-2.1284,-0.3475,1.5791
Amador,CA,California,62.57,22403,22.42,0.000000,181,0.227409,1226,2205.5,1342,0.343,0.663,0.506,-0.2579,-0.1921,-0.2287
Butte,CA,California,49.90,94556,31.92,0.000000,182,0.139259,1862,-49.7,2678,0.157,0.887,0.798,-1.0577,0.3252,0.6912
Calaveras,CA,California,62.78,26480,23.87,0.000000,183,0.243594,1129,2668.6,1162,0.347,0.702,0.566,-0.2446,-0.1629,-0.0883
Colusa,CA,California,62.87,7021,16.39,0.000000,184,0.113076,2096,714.2,2171,0.349,0.324,0.192,-0.2392,-0.3024,-0.8127
Contra Costa,CA,California,29.36,528904,45.23,0.000000,185,0.024675,2886,-108913.2,3132,0.025,0.987,0.945,-2.3531,3.4391,1.9793
Del Norte,CA,California,56.79,10564,21.39,0.000000,186,0.108324,2137,462.4,2387,0.236,0.459,0.457,-0.6229,-0.2770,-0.3283
El Dorado,CA,California,54.62,111890,40.02,0.000000,187,0.189420,1477,3080.7,1035,0.210,0.902,0.910,-0.7599,0.4494,1.4750
Fresno,CA,California,50.90,325994,24.27,0.000000,188,0.164730,1665,1516.5,1643,0.170,0.969,0.585,-0.9945,1.9844,-0.0495
Glenn,CA,California,66.12,10442,15.12,0.000000,189,0.187502,1494,1471.5,1671,0.413,0.454,0.131,-0.0342,-0.2779,-0.9353
Humboldt,CA,California,33.57,64228,33.13,0.000000,190,0.032916,2816,-9316.7,2991,0.039,0.844,0.820,-2.0880,0.1077,0.8079
Imperial,CA,California,49.14,54025,16.07,0.000000,191,0.122031,2022,-241.4,2739,0.149,0.819,0.176,-1.1056,0.0346,-0.8438
Inyo,CA,California,49.92,8951,31.50,0.000000,192,0.063200,2541,-3.8,2654,0.158,0.400,0.789,-1.0564,-0.2886,0.6497
Kern,CA,California,59.27,283246,18.77,0.000000,193,0.268398,977,18446.9,60,0.279,0.962,0.312,-0.4663,1.6779,-0.5820
Kings,CA,California,60.42,41501,13.64,0.000000,194,0.234900,1177,3156.4,1010,0.300,0.783,0.078,-0.3938,-0.0552,-1.0782
Lake,CA,California,49.18,26759,17.83,0.000000,195,0.105194,2166,-112.8,2707,0.149,0.706,0.264,-1.1027,-0.1609,-0.6731
Los Angeles,CA,California,31.91,3728427,36.01,0.000000,196,0.034000,2807,-625232.6,3154,0.034,1.000,0.861,-2.1923,26.3776,1.0869
Madera,CA,California,59.21,54624,17.91,0.000000,197,0.227417,1225,3528.5,920,0.277,0.821,0.268,-0.4699,0.0389,-0.6656
Marin,CA,California,16.69,144113,61.13,0.000000,198,0.003684,3102,-66631.1,3113,0.004,0.921,0.993,-3.1527,0.6804,3.5180
Mariposa,CA,California,59.15,9509,31.81,0.000000,199,0.116600,2066,609.2,2247,0.275,0.424,0.796,-0.4735,-0.2846,0.6803
Mendocino,CA,California,34.50,39216,25.15,0.000000,200,0.034144,2805,-5217.6,2957,0.044,0.776,0.623,-2.0293,-0.0716,0.0358
Merced,CA,California,50.88,86392,15.33,0.000000,201,0.148750,1801,393.0,2439,0.170,0.875,0.143,-0.9957,0.2666,-0.9149
Mono,CA,California,37.83,6064,32.15,0.000000,202,0.016992,2969,-570.5,2794,0.059,0.288,0.801,-1.8190,-0.3093,0.7133
Monterey,CA,California,33.55,146718,28.21,0.000000,203,0.035958,2785,-21311.4,3053,0.039,0.922,0.715,-2.0889,0.6991,0.3321
